,Name,Explanation,Action,Commonly known as,Abbrevations,See also,
,Acanthamoeba,"Acanthamoeba keratitis is a rare disease in which amoebae invade the cornea of the eye. It may result in permanent visual impairment or blindness. In the developed world it is nearly always associated with contact lens use, as Acanthamoeba can survive in the space between the lens and the eye.",Must not donate if past or active infection,Ocular infection,,,
,Accident,"If there is significant trauma, in particular penetrating trauma – an open wound or other source of infection is a risk for tissues becoming contaminated. Blunt chest trauma can result in damage to cardiovascular tissue. Note that if trauma has resulted in severe blood loss, the validity of any blood sample must be checked due to the possibility of plasma dilution of the donor.",Accept if no eye involvement,Trauma,,"Transfusion
",
,Achondroplasia,"Achondroplasia is a common cause of dwarfism. It occurs as a sporadic mutation in approximately 80% of cases (associated with advanced paternal age) or may be inherited as an autosomal dominant genetic disorder. People with achondroplasia have abnormal structural bone, so structural bone is not suitable for donation",Accept,,,"Dwarfism
",
,Acne,"Secondary infection of acne is usually obvious with swelling and redness of affected spots. There is a risk of bacteria entering the blood. This could be a serious threat to anybody receiving tissues other than ocular as the bacteria can multiply to dangerous levels. For corneas preserved by organ culture (but not hypothermic) there is an opportunity to detect contaminating bacteria in the tissue and it should be safe to donate, but if there is no ocular involvement hypothermic storage would also present no significant risk. Secondary infection of the lid margin (blepharitis) on its own should not preclude eye donation, but donations must not be taken if there is also ocular surface disease.  ",Accept if no ocular surface disease,"Pimples
Zits",,Acne – treatment,
,Acne - treatment,"Etretinate (Tigason), Acitretin (Neotigason), Isotretinoin (Roaccutane) and Alitretinoin (Toctino) can cause birth defects in babies exposed to them while inside the womb. It is important to allow time for the drug to be cleared from the donor. It takes longer to clear some drugs than others. However, it is not considered to accumulate in corneas, nor present a risk to a corneal recipient. Etretinate was approved by the FDA in 1986 to treat severe psoriasis. It was subsequently removed from the market in the late 1990s due to the high risk of birth defects. It has an extremely long halflife and all tissues (other than corneas) must not be donated. Acitretin and Isotretinoin can cause birth defects but have a lower half-life than Etretinate. Tissues other than corneas should not be donated if less than 24 months from last dose of Acitretin and 4 weeks from last dose of Isotretinoin.","Accept for corneas even if treated with Etretinate (Tigason), Acitretin (Neotigason), Isotretinoin (Roaccutane) or Alitretinoin (Toctino).",,,,
,Acne - roscea,"Rosacea, or acne rosacea, is a type of non-contagious skin inflammation that typically affects the face. The small surface blood vessels (capillaries) of the skin enlarge, giving the appearance of a permanent flush. The forehead, cheeks and chin may develop yellow-headed pimples. Unlike acne, rosacea does not scar. In severe cases of rosacea, the nose can become reddened and enlarged (rhinophyma). The condition tends to appear between the ages of 30 and 50 years, initially with frequent flushing. Over time, this flushing becomes permanent as the capillaries enlarge and pustules begin to form. The symptoms tend to worsen with advancing age. The cause is unknown and there is no permanent cure. Complications include Ocular Rosacea: Red (due to telangiectasias), dry, irritated or gritty, eyes and eyelids. Watery eyes. Eyelids often develop cysts. Some other symptoms include foreign body sensations, itching, burning, stinging, and sensitivity to light. Eyes can become more susceptible to infection. Blurry vision and loss of vision can occur. ",Accept if no ocular involvement,,,Roscea,
,Acupuncture,"Acupuncture needles that have been reused have passed infection from person to person. Australia
In 2012 the Chinese Medicine Board of Australia (CMBA) was created, and in 2013 established an interim accreditation standard for the profession in partnership with the Australian Health Practitioner Regulation Agency. The legislation put in place stipulates that only practitioners who are state-registered may use the following titles: Acupuncture, Chinese Medicine, Chinese Herbal Medicine, Registered Acupuncturist, Registered Chinese Medicine Practitioner, and Registered Chinese Herbal Medicine Practitioner. The aim of registration was to protect the public from the risks of acupuncture by ensuring a high baseline level of competency and education of registered acupuncturists, enforcing guidelines regarding continuing professional education and investigating complaints of practitioner conduct.
The Infection prevention and control guidelines for acupuncture practice (available at http://www.chinesemedicineboard.gov.au/Codes-Guidelines.aspx) stipulate that only sterile single use needles are to be used. Therefore In practice in Australia, there should be no concerns or deferral periods following acupuncture.
New Zealand
Currently the acupuncture industry is self-regulated. There are a few organisations offering voluntary membership including New Zealand Register of Acupuncture Incorporated and New Zealand Acupuncture Standards Authority Incorporated. These organisations in their code of practice (available at http://www.acupuncture.org.nz/uploadGallery/NZRA%20clinical%20guidelines.%20October%202012.pdf) stipulate the use of sterile single use needles.
","Accept, if performed with sterile single use needles. No deferral period required. Must not donate if a) Less than six months from completing treatment or four months if NAT HCV is performed when single-use sterile needles cannot be confirmed b) The condition for which treatment was given is not acceptable",Dry needling ,,,
,Addiction and drug abuse,"Injecting drug use has been linked with the passing on of many infections, including hepatitis and HIV. This guidelines recommendation of six month exclusion period is a rational approach based on the worst case scenario “window periods” for hepatitis and HIV testing. It is also internally consistent with other risk of infectious disease exclusion periods. The TGA mandate for Australian Eye Banking of five years appears to be based on the theoretical risk of recidivism in addiction and drug abuse.","Must not donate: Persons who have ever performed intravenous, intramuscular or subcutaneous non-prescribed drug use (even if only once) within the previous six months (or 4 months if HCV NAT is performed) or where history or examination gives cause to suspect non-medical intravenous drug use. This includes body-building drugs. May be acceptable if injected drugs were prescribed by the donor’s physician for a condition that would not lead to exclusion. Previous use of non-parenteral drugs does not necessarily require exclusion. The TGA mandates a five year exclusion period.",,IVDU,,
,African Trypanosomiasis,"Corneas are avascular and therefore there is considered to be no risk of transmitting a protozoal infection. Human African trypanosomiasis, sleeping sickness, African lethargy, or Congo trypanosomiasis] is a parasitic disease of humans and other animals, caused by protozoa of the species Trypanosoma brucei and transmitted by the tsetse fly.",Accept for corneas but not sclera,"Sleeping sickness
Human African trypanosomiasis
African Lethargy
Congo trypanosomiasis",,Tsetse fly,
,Age,"Low age problems relate to both the technical difficulties in using infant tissue and the complication of post-operative myopia. The extreme thinness of the infant cornea means that it is likely to fold upon itself during handling. This, combined with the small diameter of the cornea, creates problems during the donation surgery, trephining, and during placement and suturing in the host bed. The myopic shift after keratoplasty with infant donor corneas has been related to the steep curvature of these corneas","Lower age limit for donation of eye tissue for transplantation is two years. The upper age limit is left to the discretion of the Medical Director, since no definite relationship has been established between the quality of donor tissue and advanced age.",,,"Child
Children
Elderly",
